collection_timestamp,observation_timestamp,stock,event_type,source,source_update,yata_stock,yata_update,prometheus_stock,prometheus_update
2026-09-20T17:16:15.804242+00:00,2026-09-20T17:16:08+00:00,0,baseline,Prometheus,1789924568,0,1789924559,0,1789924568
2026-09-21T14:55:12.670182+00:00,2026-09-21T14:55:17+00:00,3,restock,Prometheus,1790002517,0,1790002496,3,1790002517
2026-09-21T15:04:13.101549+00:00,2026-09-21T15:04:08+00:00,0,stockout,Prometheus,1790003048,0,1790003041,0,1790003048
2026-09-22T18:56:24.831684+00:00,2026-09-22T18:56:17+00:00,2,restock,YATA,1790103377,2,1790103377,2,1790103374
2026-09-22T19:06:09.482321+00:00,2026-09-22T19:06:07+00:00,0,stockout,YATA,1790103967,0,1790103967,0,1790103966
2026-09-23T04:54:04.854282+00:00,2026-09-23T04:54:33+00:00,2,restock,Prometheus,1790139273,2,1790139242,2,1790139273
2026-09-23T05:02:03.876582+00:00,2026-09-23T05:02:11+00:00,0,stockout,Prometheus,1790139731,0,1790139703,0,1790139731
2026-09-23T10:26:08.327924+00:00,2026-09-23T10:26:10+00:00,3,restock,Prometheus,1790159170,0,1790159118,3,1790159170
2026-09-23T10:38:56.830027+00:00,2026-09-23T10:38:50+00:00,0,stockout,Prometheus,1790159930,0,1790159875,0,1790159930
2026-09-23T12:25:46.031531+00:00,2026-09-23T12:25:34+00:00,2,restock,Prometheus,1790166334,3,1790166306,2,1790166334
2026-09-23T12:41:38.059760+00:00,2026-09-23T12:41:20+00:00,0,stockout,Prometheus,1790167280,0,1790167272,0,1790167280
2026-09-24T22:53:53.460207+00:00,2026-09-24T22:53:27+00:00,2,restock,Prometheus,1790290407,3,1790290399,2,1790290407
2026-09-24T23:01:45.735916+00:00,2026-09-24T23:01:48+00:00,0,stockout,Prometheus,1790290908,0,1790290888,0,1790290908
