lower_bound,upper_bound,country,item,from_stock,to_stock,type,source,source_update
2026-09-17T21:22:06.360545+00:00,2026-09-17T21:28:26+00:00,Canada,Xanax,0,2434,restock,YATA,1789680506
2026-09-17T21:28:18+00:00,2026-09-17T21:35:16+00:00,UAE,Camel Plushie,211,0,stockout,YATA,1789680916
2026-09-17T21:27:30+00:00,2026-09-17T21:35:10+00:00,China,Panda Plushie,344,0,stockout,YATA,1789680910
2026-09-17T21:34:49+00:00,2026-09-17T21:46:48+00:00,South Africa,Lion Plushie,325,0,stockout,YATA,1789681608
2026-09-17T21:35:10+00:00,2026-09-17T21:47:54+00:00,China,Panda Plushie,0,2379,restock,YATA,1789681674
2026-09-17T21:46:48+00:00,2026-09-17T22:00:28+00:00,South Africa,Lion Plushie,0,2239,restock,YATA,1789682428
2026-09-17T21:46:38+00:00,2026-09-17T22:00:25+00:00,UAE,Camel Plushie,0,1722,restock,YATA,1789682425
2026-09-17T22:00:28+00:00,2026-09-17T22:19:09+00:00,South Africa,Raw Ivory,0,2500,restock,YATA,1789683549
2026-09-17T22:00:28+00:00,2026-09-17T22:19:09+00:00,South Africa,Smoke Grenade,134,0,stockout,YATA,1789683549
2026-09-17T22:00:31+00:00,2026-09-17T22:18:38+00:00,Canada,Xanax,17,0,stockout,YATA,1789683518
2026-09-17T22:18:17+00:00,2026-09-17T22:32:01+00:00,UAE,Camel Plushie,324,0,stockout,YATA,1789684321
2026-09-17T22:30:55+00:00,2026-09-17T22:44:47+00:00,South Africa,Lion Plushie,331,0,stockout,YATA,1789685087
2026-09-17T22:32:53+00:00,2026-09-17T22:45:26+00:00,United Kingdom,Xanax,0,2343,restock,YATA,1789685126
2026-09-17T22:32:01+00:00,2026-09-17T22:45:21+00:00,UAE,Camel Plushie,0,1895,restock,YATA,1789685121
2026-09-17T22:31:49+00:00,2026-09-17T22:45:27+00:00,China,Panda Plushie,343,0,stockout,YATA,1789685127
2026-09-17T22:44:47+00:00,2026-09-17T22:58:27+00:00,South Africa,Lion Plushie,0,2228,restock,YATA,1789685907
2026-09-17T22:45:27+00:00,2026-09-17T22:58:07+00:00,China,Panda Plushie,0,2059,restock,YATA,1789685887
2026-09-17T22:58:27+00:00,2026-09-17T23:15:22+00:00,South Africa,Smoke Grenade,0,2500,restock,YATA,1789686922
2026-09-17T22:57:45+00:00,2026-09-17T23:15:16+00:00,Japan,Xanax,0,1791,restock,YATA,1789686916
2026-09-17T23:15:22+00:00,2026-09-17T23:27:04+00:00,South Africa,Raw Ivory,369,0,stockout,YATA,1789687624
2026-09-17T23:14:46+00:00,2026-09-17T23:27:46+00:00,UAE,Camel Plushie,162,0,stockout,YATA,1789687666
2026-09-17T23:27:04+00:00,2026-09-17T23:41:52+00:00,South Africa,Lion Plushie,653,0,stockout,YATA,1789688512
2026-09-17T23:27:46+00:00,2026-09-17T23:42:00+00:00,UAE,Tribulus Omanense,196,0,stockout,YATA,1789688520
2026-09-17T23:27:46+00:00,2026-09-17T23:42:00+00:00,UAE,Camel Plushie,0,1711,restock,YATA,1789688520
